time	gasCreaMean(2)	gasCreaStd(3)	gasTotalMean(4)	gasTotalStd(5)	creaMean(6)	creaStd(7)	totKitty(8)	avgKitty(9)	minKitty(10)	maxKitty(11)	stdKitty(12)
13740	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
13800	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
13860	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
13920	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
13980	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
14040	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
14100	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
14160	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
14220	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
14280	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
14340	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
14400	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
14460	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
14520	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
14580	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
14640	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
14700	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
14760	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
14820	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
